Date,Year,Season,Field Stage,Stage Type,Pest,Pest Count/Damage,Threshold Status,Action,Pest_Diff,Pest_Trend_Sign,Field,YEAR,DOY,X,T2M,PRECTOTCORR,RH2M,WS2M,GWETROOT,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,WD2M,GWETTOP,TS,ALLSKY_SFC_LW_DWN,QV2M,PS,GWETPROF,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DIFF
2019-01-01,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,0.0,0,Field1,2019.0,1.0,5.0,23.51,0.4,88.33,0.96,0.87,9.15,28.21,20.13,66.1,0.85,25.1,33.91,17.99,98.74,0.89,2.4,9.14
2019-01-02,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,11.0,Economic Damage,0.0,8.0,+,Field1,2019.0,2.0,13.0,24.07,3.68,84.03,1.15,0.87,8.14,29.18,19.48,70.2,0.85,25.52,34.09,17.5,98.79,0.89,2.08,6.95
2019-01-03,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,-6.0,-,Field1,2019.0,3.0,7.0,23.77,0.08,83.44,1.08,0.86,9.23,29.66,19.36,45.4,0.84,25.4,33.27,17.14,98.92,0.89,2.43,10.42
2019-01-04,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,-2.0,-,Field1,2019.0,4.0,6.0,22.41,11.86,86.16,1.4,0.86,8.88,29.12,17.57,66.4,0.86,24.26,32.53,16.18,99.0,0.88,2.29,11.18
2019-01-05,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,4.0,+,Field1,2019.0,5.0,9.0,23.16,0.81,87.15,1.14,0.86,8.73,28.86,18.73,72.4,0.85,24.57,33.41,16.87,98.94,0.88,2.12,9.06
2019-01-06,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,-2.0,-,Field1,2019.0,6.0,5.0,23.84,0.56,84.16,0.95,0.85,6.46,30.1,19.86,46.9,0.84,25.49,34.62,17.28,98.84,0.88,1.74,6.85
2019-01-07,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,0.0,Below Threshold,0.0,-5.0,-,Field1,2019.0,7.0,0.0,23.34,0.01,78.64,1.08,0.85,9.78,30.12,18.61,38.9,0.84,24.74,32.72,15.89,98.82,0.88,2.32,5.4
2019-01-08,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,8.0,Economic Threshold,0.0,8.0,+,Field1,2019.0,8.0,8.0,22.19,0.01,82.4,1.24,0.84,9.39,29.2,16.68,44.4,0.83,23.77,32.79,15.34,98.82,0.87,2.19,5.09
2019-01-09,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,-4.0,-,Field1,2019.0,9.0,7.0,21.79,0.45,83.13,1.33,0.84,9.3,27.93,17.21,51.6,0.83,23.71,32.47,15.4,98.82,0.87,2.22,5.85
2019-01-10,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,11.0,Economic Damage,0.0,7.0,+,Field1,2019.0,10.0,14.0,23.21,1.32,84.19,1.05,0.83,6.86,28.98,18.73,58.5,0.83,25.04,34.63,16.74,98.73,0.87,1.84,8.08
